feature,mean_importance
Name_miss,-180.70380963572205
Ticket_347077,-10.14729139163137
Embarked,-5.243986815302378
Ticket_ca,-2.7745043086488295
Pclass,-1.9322892131520348
Age,-1.3681924204289317
Ticket_33112,-0.0876190120134197
Name_ida,-0.06277336984421708
Name_ellen,-0.027626709583091724
Ticket_sc,-0.024958698878617725
Name_samuel,-0.024725813538680086
Name_howard,-0.022971178391526337
Name_albert,-0.005198158095117833
Name_arthur,-0.0012313449433349888
Ticket_paris,-0.0009572833278070902
Ticket_330968,0.0
Ticket_330971,0.0
Ticket_330972,0.0
Ticket_330924,0.0
Ticket_334914,0.0
Ticket_334915,0.0
Ticket_3410,0.0
Ticket_33595,0.0
Ticket_33638,0.0
Ticket_330910,0.0
Ticket_342441,0.0
Ticket_342684,0.0
Ticket_342712,0.0
Ticket_345498,0.0
Ticket_345572,0.0
Ticket_345763,0.0
Ticket_335432,0.0
Ticket_330844,0.0
Ticket_315095,0.0
Ticket_315154,0.0
Ticket_113503,0.0
Ticket_13534,0.0
Ticket_14879,0.0
Ticket_16966,0.0
Ticket_220845,0.0
Ticket_230136,0.0
Ticket_2343,0.0
Ticket_2662,0.0
Ticket_2673,0.0
Ticket_32302,0.0
Ticket_28220,0.0
Ticket_3130,0.0
Ticket_31352,0.0
Ticket_31416,0.0
Ticket_315083,0.0
Ticket_315085,0.0
Ticket_315087,0.0
Ticket_315091,0.0
Ticket_315092,0.0
Ticket_315153,0.0
Ticket_3101315,0.0
Ticket_345768,0.0
Ticket_3470,0.0
Ticket_345775,0.0
Ticket_371362,0.0
Ticket_376566,0.0
Ticket_37671,0.0
Ticket_382650,0.0
Ticket_383123,0.0
Ticket_383162,0.0
Ticket_386525,0.0
Ticket_392083,0.0
Ticket_392095,0.0
Ticket_370374,0.0
Ticket_4133,0.0
Ticket_6607,0.0
Ticket_694,0.0
Ticket_7266,0.0
Ticket_7538,0.0
Ticket_851,0.0
Ticket_ah,0.0
Ticket_aq,0.0
Ticket_o2,0.0
Ticket_oq,0.0
Ticket_5734,0.0
Ticket_370371,0.0
Ticket_370129,0.0
Ticket_3701,0.0
Ticket_34644,0.0
Ticket_34651,0.0
Ticket_112378,0.0
Ticket_347065,0.0
Ticket_347066,0.0
Ticket_347070,0.0
Ticket_347072,0.0
Ticket_347075,0.0
Ticket_347079,0.0
Ticket_347080,0.0
Ticket_347090,0.0
Ticket_347091,0.0
Ticket_347467,0.0
Ticket_365237,0.0
Ticket_36568,0.0
Ticket_366713,0.0
Ticket_367226,0.0
Ticket_368402,0.0
Ticket_368783,0.0
Ticket_36928,0.0
Ticket_369943,0.0
Ticket_345771,0.0
Name_winifred,0.0
Name_van,0.0
Name_washington,0.0
Name_ernst,0.0
Name_florence,0.0
Name_francis,0.0
Name_franklin,0.0
Name_gibson,0.0
Name_gilbert,0.0
Name_emilio,0.0
Name_giles,0.0
Name_helene,0.0
Name_herbert,0.0
Name_herman,0.0
Name_ivan,0.0
Name_jennie,0.0
Name_johannes,0.0
Name_hannah,0.0
Name_johansson,0.0
Name_elizabeth,0.0
Name_elin,0.0
Name_abraham,0.0
Name_caroline,0.0
Name_catherine,0.0
Name_clifford,0.0
Name_col,0.0
Name_david,0.0
Name_eliza,0.0
Name_delia,0.0
Name_drew,0.0
Name_dunton,0.0
Name_edgar,0.0
Name_edith,0.0
Name_edvard,0.0
Name_edwin,0.0
Name_dodge,0.0
Name_julia,0.0
Name_helen,0.0
Name_pokrnic,0.0
Ticket_soton,0.0
Name_stehli,0.0
Name_spedden,0.0
Name_samaan,0.0
Name_sage,0.0
Name_ryerson,0.0
Name_ruth,0.0
Name_rev,0.0
Name_ralph,0.0
Name_peter,0.0
Name_percy,0.0
Name_peacock,0.0
Name_nils,0.0
Name_michael,0.0
Ticket_ston,0.0
Name_kate,0.0
Name_lane,0.0
Name_louisa,0.0
Name_louise,0.0
Name_mahon,0.0
Ticket_31029,0.006433845942046901
Name_douglas,0.00707095679736085
Name_alice,0.020229167338766275
Name_miller,0.024563356235375977
Name_nellie,0.046912854238144064
Name_frank,0.10610872306478995
Name_frances,0.10862266199146689
Name_james,0.11335932969286659
Name_mary,0.12462146456600749
Name_karl,0.13254221550687362
Name_alfred,0.13400890594111842
Name_thomas,0.14614797407921287
Name_harry,0.14647326896065352
Name_julius,0.1478156000490344
Name_alexander,0.14901214058754703
Name_maria,0.16044812947584433
Name_johan,0.16996101087534043
Name_joseph,0.17470433905800747
Name_emma,0.1807287033610919
Name_jr,0.20154704745491472
Name_davies,0.2097356195703469
Name_robert,0.2603968977520708
Name_henry,0.2636698293899826
Name_patrick,0.4665665284946954
Name_bridget,0.6922591699983969
Name_walter,0.9032148135876923
Name_master,2.5488314137997805
Name_frederick,3.5022500950377435
SibSp,4.880508691469731
Ticket_17608,4.954586052845661
Name_charles,6.211655979712487
Name_edward,6.614509741637448
Parch,6.947637466435845
Name_george,7.012565890626684
Ticket_pc,7.973916592001842
Name_john,8.007099989450035
Cabin,9.096886422713032
Name_carl,9.247121703031008
Name_william,10.19509588863384
Name_daniel,13.924016301222036
Fare,16.609480350455122
Name_mrs,25.20340436292936
Sex,28.60591406531421
Name_mr,93.72854520699293
