feature,shap_importance
Fare,0.05040327468877174
Name_joseph,0.025524341198977035
Name_mrs,0.022464561692176373
Name_miss,0.016048759566056274
Ticket_paris,0.01107849924710729
Cabin,0.010468527965526893
Age,0.009785632340617006
Name_master,0.0075504646839733465
Name_mr,0.006474249525045545
Parch,0.006264295029249023
Name_hannah,0.00607765946167647
Ticket_ston,0.006073025999683503
Name_francis,0.0057677128363222575
Name_ellen,0.004889231295776436
Name_samuel,0.004729993686299982
Name_gibson,0.004354457897192476
Name_albert,0.003910811814880223
Name_george,0.0033503766223067248
Ticket_soton,0.0024061686055412783
Ticket_315153,0.002203046458631201
Embarked,0.002169995779982779
Name_harry,0.002130628582479558
Name_karl,0.0020116590349730794
SibSp,0.0018552267502919021
Name_caroline,0.0017754796662386389
Ticket_330972,0.0013416755140468145
Name_herbert,0.001288593186852625
Name_edgar,0.0012171475109621866
Ticket_112378,0.0012153358979740763
Name_giles,0.0011294592508930262
Name_alfred,0.0010277111775961307
Name_thomas,0.0010047877317670801
Ticket_5734,0.0009922194080372565
Ticket_7538,0.0009749945643233237
Name_daniel,0.0008926307327270519
Ticket_370374,0.0007999285715317004
Ticket_315087,0.0007576360718746136
Name_clifford,0.0007030598701193295
Name_ruth,0.0007003211502058582
Ticket_330910,0.0006361691795017431
Name_emilio,0.0006185464314150644
Ticket_342712,0.0005754942528105809
Name_stehli,0.0005745285001772865
Name_herman,0.0005531530603640776
Ticket_37671,0.0005457776682036332
Name_alexander,0.0005062952896984468
Name_henry,0.0004813390136234767
Ticket_365237,0.00045866135674953764
Name_helene,0.00043586270493256726
Ticket_694,0.0004330097144501553
Ticket_2662,0.0003944825042664764
Ticket_aq,0.0003709922595372965
Ticket_315083,0.0
Ticket_315085,0.0
Ticket_345771,0.0
Ticket_345768,0.0
Ticket_342441,0.0
Ticket_345775,0.0
Ticket_345763,0.0
Ticket_345572,0.0
Ticket_345498,0.0
Ticket_315091,0.0
Ticket_342684,0.0
Ticket_33112,0.0
Ticket_3410,0.0
Ticket_334914,0.0
Ticket_33638,0.0
Ticket_315092,0.0
Ticket_33595,0.0
Ticket_335432,0.0
Ticket_315095,0.0
Ticket_334915,0.0
Ticket_315154,0.0
Ticket_32302,0.0
Ticket_330844,0.0
Ticket_330924,0.0
Ticket_330968,0.0
Ticket_330971,0.0
Ticket_34644,0.0
Ticket_366713,0.0
Ticket_34651,0.0
Ticket_4133,0.0
Ticket_371362,0.0
Ticket_376566,0.0
Ticket_382650,0.0
Ticket_383123,0.0
Ticket_383162,0.0
Ticket_386525,0.0
Ticket_392083,0.0
Ticket_392095,0.0
Ticket_6607,0.0
Ticket_3470,0.0
Ticket_7266,0.0
Ticket_851,0.0
Ticket_ah,0.0
Ticket_ca,0.0
Ticket_o2,0.0
Ticket_oq,0.0
Ticket_pc,0.0
Ticket_sc,0.0
Ticket_370371,0.0
Ticket_370129,0.0
Ticket_3701,0.0
Ticket_369943,0.0
Ticket_347065,0.0
Ticket_347066,0.0
Ticket_347070,0.0
Ticket_347072,0.0
Ticket_347075,0.0
Ticket_347077,0.0
Ticket_347079,0.0
Ticket_347080,0.0
Ticket_347090,0.0
Ticket_347091,0.0
Ticket_347467,0.0
Ticket_36568,0.0
Ticket_31352,0.0
Ticket_367226,0.0
Ticket_368402,0.0
Ticket_368783,0.0
Ticket_36928,0.0
Ticket_31416,0.0
Pclass,0.0
Ticket_3130,0.0
Name_gilbert,0.0
Name_elizabeth,0.0
Name_emma,0.0
Name_ernst,0.0
Name_florence,0.0
Name_frances,0.0
Name_frank,0.0
Name_franklin,0.0
Name_frederick,0.0
Name_helen,0.0
Name_jr,0.0
Name_howard,0.0
Name_ida,0.0
Name_ivan,0.0
Name_james,0.0
Name_jennie,0.0
Name_johan,0.0
Name_johannes,0.0
Name_johansson,0.0
Name_eliza,0.0
Name_elin,0.0
Name_edwin,0.0
Name_edward,0.0
Name_abraham,0.0
Name_alice,0.0
Name_arthur,0.0
Name_bridget,0.0
Name_carl,0.0
Name_catherine,0.0
Name_charles,0.0
Name_col,0.0
Name_david,0.0
Name_davies,0.0
Name_delia,0.0
Name_dodge,0.0
Name_douglas,0.0
Name_drew,0.0
Name_dunton,0.0
Name_edith,0.0
Name_edvard,0.0
Name_john,0.0
Name_julia,0.0
Ticket_31029,0.0
Ticket_13534,0.0
Name_samaan,0.0
Name_spedden,0.0
Name_van,0.0
Sex,0.0
Name_washington,0.0
Name_william,0.0
Name_winifred,0.0
Ticket_113503,0.0
Ticket_14879,0.0
Name_julius,0.0
Ticket_16966,0.0
Ticket_17608,0.0
Ticket_220845,0.0
Ticket_230136,0.0
Ticket_2343,0.0
Ticket_2673,0.0
Ticket_28220,0.0
Ticket_3101315,0.0
Name_sage,0.0
Name_ryerson,0.0
Name_robert,0.0
Name_rev,0.0
Name_kate,0.0
Name_lane,0.0
Name_louisa,0.0
Name_louise,0.0
Name_mahon,0.0
Name_maria,0.0
Name_mary,0.0
Name_michael,0.0
Name_miller,0.0
Name_nellie,0.0
Name_nils,0.0
Name_patrick,0.0
Name_peacock,0.0
Name_percy,0.0
Name_peter,0.0
Name_pokrnic,0.0
Name_ralph,0.0
Name_walter,0.0
